ticket_id,customer_id,sku_id,order_id,issue_type,issue_text,resolution_status,created_at,Resolved_at
TICK00000001,CUST00001,SKU00293,ORD0000002,Quality Complaint,Weld on metal frame has cracked.,In Progress,2025-03-23 10:27:21.000000,2025-03-30 10:27:21.000000
TICK00000002,CUST00007,SKU00167,ORD0000024,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2026-04-03 12:52:52.000000,2026-04-04 12:52:52.000000
TICK00000003,CUST00008,SKU00105,ORD0000029,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2025-02-11 05:06:58.000000,2025-02-17 05:06:58.000000
TICK00000004,CUST00011,SKU00273,ORD0000036,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",In Progress,2024-12-21 20:47:00.000000,2024-12-22 20:47:00.000000
TICK00000005,CUST00015,SKU00363,ORD0000045,Quality Complaint,Strong chemical odor that still hasn't gone away.,In Progress,2024-09-29 14:32:30.000000,
TICK00000006,CUST00016,SKU00084,ORD0000048,Quality Complaint,Weld on metal frame has cracked.,In Progress,2025-09-25 10:58:16.000000,2025-10-02 10:58:16.000000
TICK00000007,CUST00023,SKU00299,ORD0000065,Product Damage Report,Huge scratch across entire top surface.,In Progress,2026-01-13 04:18:42.000000,
TICK00000008,CUST00027,SKU00240,ORD0000077,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,In Progress,2026-01-16 13:10:41.000000,2026-01-22 13:10:41.000000
TICK00000009,CUST00028,SKU00321,ORD0000083,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,In Progress,2024-11-17 16:03:01.000000,
TICK00000010,CUST00030,SKU00044,ORD0000087,Return Status Inquiry,Was promised full refund but only got partial amount.,Closed,2024-07-25 09:28:47.000000,2024-07-27 09:28:47.000000
TICK00000011,CUST00039,SKU00137,ORD0000106,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2025-09-13 02:20:30.000000,2025-09-14 02:20:30.000000
TICK00000012,CUST00046,SKU00280,ORD0000127,Quality Complaint,Finish is already peeling off after 2 months.,Closed,2024-09-01 03:10:36.000000,
TICK00000013,CUST00050,SKU00236,ORD0000134,Return Status Inquiry,Return portal won't let me process - says outside window.,Open,2025-01-21 22:30:22.000000,2025-01-25 22:30:22.000000
TICK00000014,CUST00053,SKU00062,ORD0000148,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2025-10-31 23:08:48.000000,2025-11-06 23:08:48.000000
TICK00000015,CUST00059,SKU00088,ORD0000160,Product Damage Report,Huge scratch across entire top surface.,Closed,2024-09-29 11:25:56.000000,2024-10-03 11:25:56.000000
TICK00000016,CUST00060,SKU00333,ORD0000167,Product Damage Report,Upholstery has tear along the back seam.,Closed,2025-08-12 10:53:24.000000,2025-08-13 10:53:24.000000
TICK00000017,CUST00062,SKU00410,ORD0000176,Product Damage Report,Huge scratch across entire top surface.,Resolved,2024-12-30 15:54:55.000000,
TICK00000018,CUST00064,SKU00130,ORD0000187,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2025-09-25 21:36:51.000000,2025-10-01 21:36:51.000000
TICK00000019,CUST00064,SKU00185,ORD0000189,Product Damage Report,Just opened box and glass is completely shattered.,Open,2025-10-11 12:33:10.000000,2025-10-13 12:33:10.000000
TICK00000020,CUST00066,SKU00207,ORD0000193,Product Damage Report,Just opened box and glass is completely shattered.,Closed,2025-08-16 12:27:39.000000,
TICK00000021,CUST00074,SKU00151,ORD0000214,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2025-05-26 11:24:19.000000,2025-05-29 11:24:19.000000
TICK00000022,CUST00074,SKU00372,ORD0000218,Product Damage Report,Corner of table is crushed - box was damaged.,Closed,2026-01-11 17:24:30.000000,2026-01-15 17:24:30.000000
TICK00000023,CUST00076,SKU00151,ORD0000221,Quality Complaint,Fabric is pilling badly after a few weeks.,Resolved,2025-09-11 04:17:58.000000,2025-09-13 04:17:58.000000
TICK00000024,CUST00076,SKU00025,ORD0000224,Return Status Inquiry,Return portal won't let me process - says outside window.,In Progress,2025-06-02 19:09:11.000000,2025-06-04 19:09:11.000000
TICK00000025,CUST00077,SKU00216,ORD0000227,Product Damage Report,Huge scratch across entire top surface.,Resolved,2025-08-18 10:17:22.000000,2025-08-19 10:17:22.000000
TICK00000026,CUST00079,SKU00215,ORD0000231,Product Damage Report,Huge scratch across entire top surface.,Closed,2025-11-19 20:39:40.000000,2025-11-24 20:39:40.000000
TICK00000027,CUST00081,SKU00170,ORD0000236,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2026-01-22 21:51:12.000000,2026-01-23 21:51:12.000000
TICK00000028,CUST00082,SKU00270,ORD0000239,Quality Complaint,Strong chemical odor that still hasn't gone away.,Open,2024-05-20 09:45:13.000000,
TICK00000029,CUST00089,SKU00338,ORD0000256,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Resolved,2025-05-19 10:17:23.000000,
TICK00000030,CUST00090,SKU00234,ORD0000258,Quality Complaint,Finish is already peeling off after 2 months.,Open,2024-10-30 22:37:51.000000,
TICK00000031,CUST00092,SKU00185,ORD0000268,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,In Progress,2024-07-23 05:21:45.000000,2024-07-30 05:21:45.000000
TICK00000032,CUST00095,SKU00381,ORD0000274,Quality Complaint,Fabric is pilling badly after a few weeks.,Open,2025-10-27 23:10:01.000000,2025-10-28 23:10:01.000000
TICK00000033,CUST00097,SKU00176,ORD0000282,Quality Complaint,Fabric is pilling badly after a few weeks.,Closed,2024-08-09 16:43:10.000000,2024-08-13 16:43:10.000000
TICK00000034,CUST00097,SKU00069,ORD0000282,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Open,2024-07-25 16:43:10.000000,2024-07-27 16:43:10.000000
TICK00000035,CUST00097,SKU00276,ORD0000283,Quality Complaint,Strong chemical odor that still hasn't gone away.,Open,2025-04-04 23:29:47.000000,2025-04-06 23:29:47.000000
TICK00000036,CUST00098,SKU00020,ORD0000285,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Resolved,2025-12-26 21:55:10.000000,
TICK00000037,CUST00098,SKU00270,ORD0000286,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2025-04-19 08:00:32.000000,2025-04-21 08:00:32.000000
TICK00000038,CUST00100,SKU00192,ORD0000290,Product Damage Report,Corner of table is crushed - box was damaged.,Open,2025-08-04 22:28:01.000000,2025-08-07 22:28:01.000000
TICK00000039,CUST00104,SKU00095,ORD0000304,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Open,2025-04-14 18:51:48.000000,
TICK00000040,CUST00113,SKU00040,ORD0000329,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2024-11-18 11:34:05.000000,2024-11-19 11:34:05.000000
TICK00000041,CUST00116,SKU00250,ORD0000335,Quality Complaint,Strong chemical odor that still hasn't gone away.,Resolved,2024-08-11 21:54:39.000000,2024-08-16 21:54:39.000000
TICK00000042,CUST00119,SKU00325,ORD0000347,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2025-06-21 21:26:10.000000,2025-06-25 21:26:10.000000
TICK00000043,CUST00123,SKU00276,ORD0000352,Return Status Inquiry,Return portal won't let me process - says outside window.,Resolved,2026-01-24 08:38:53.000000,
TICK00000044,CUST00124,SKU00028,ORD0000357,Quality Complaint,Weld on metal frame has cracked.,In Progress,2025-07-22 02:27:38.000000,2025-07-24 02:27:38.000000
TICK00000045,CUST00128,SKU00079,ORD0000367,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2025-01-26 15:41:26.000000,2025-01-30 15:41:26.000000
TICK00000046,CUST00130,SKU00406,ORD0000372,Return Status Inquiry,Was promised full refund but only got partial amount.,Closed,2026-03-24 23:50:03.000000,2026-03-27 23:50:03.000000
TICK00000047,CUST00136,SKU00375,ORD0000388,Return Status Inquiry,Was promised full refund but only got partial amount.,Closed,2024-05-22 23:29:35.000000,
TICK00000048,CUST00142,SKU00384,ORD0000412,Quality Complaint,Strong chemical odor that still hasn't gone away.,Closed,2025-03-19 08:21:09.000000,
TICK00000049,CUST00143,SKU00092,ORD0000416,Return Status Inquiry,Return portal won't let me process - says outside window.,Open,2024-09-20 14:06:21.000000,2024-09-24 14:06:21.000000
TICK00000050,CUST00143,SKU00114,ORD0000416,Product Damage Report,Upholstery has tear along the back seam.,In Progress,2024-09-07 14:06:21.000000,
TICK00000051,CUST00145,SKU00088,ORD0000425,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2025-12-07 16:46:53.000000,
TICK00000052,CUST00146,SKU00413,ORD0000430,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2026-02-03 14:37:26.000000,
TICK00000053,CUST00148,SKU00216,ORD0000436,Return Status Inquiry,Return portal won't let me process - says outside window.,Closed,2024-05-09 11:45:43.000000,
TICK00000054,CUST00149,SKU00355,ORD0000439,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Open,2024-06-02 21:22:38.000000,
TICK00000055,CUST00153,SKU00404,ORD0000450,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2024-09-28 06:47:01.000000,
TICK00000056,CUST00154,SKU00305,ORD0000452,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2024-05-05 06:20:32.000000,2024-05-11 06:20:32.000000
TICK00000057,CUST00159,SKU00214,ORD0000465,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2025-12-16 02:26:53.000000,
TICK00000058,CUST00159,SKU00115,ORD0000468,Return Status Inquiry,Was promised full refund but only got partial amount.,In Progress,2025-08-14 01:05:23.000000,2025-08-15 01:05:23.000000
TICK00000059,CUST00159,SKU00213,ORD0000470,Return Status Inquiry,Was promised full refund but only got partial amount.,Resolved,2025-11-26 08:46:33.000000,2025-12-03 08:46:33.000000
TICK00000060,CUST00160,SKU00202,ORD0000471,Quality Complaint,Strong chemical odor that still hasn't gone away.,In Progress,2025-11-03 09:34:50.000000,2025-11-10 09:34:50.000000
TICK00000061,CUST00161,SKU00009,ORD0000477,Return Status Inquiry,Return delivered back to you a week ago. When is refund?,Resolved,2024-07-24 09:32:17.000000,2024-07-29 09:32:17.000000
TICK00000062,CUST00162,SKU00302,ORD0000479,Return Status Inquiry,"Initiated return 10 days ago, still no shipping label.",Closed,2024-05-02 09:06:42.000000,2024-05-09 09:06:42.000000
