return_id,order_id,order_item_id,sku_id,customer_id,return_reason,return_note,return_date,return_status,refund_amount,return_shipping_cost,condition_received
RET0000001,ORD0000002,OI0000002,SKU00293,CUST00001,Quality didn't meet expectations,Stitching on the upholstery is uneven and coming loose.,2025-03-25 10:27:21.000000,Inspected,243.06,11.45,Unused
RET0000002,ORD0000004,OI0000006,SKU00205,CUST00001,Too dark,Finish is at least two shades darker than shown.,2024-11-15 08:07:28.000000,Refunded,203.69,26.47,Unused
RET0000003,ORD0000006,OI0000010,SKU00396,CUST00002,Color mismatch,Gold finish is extremely yellow and brassy.,2024-04-25 04:31:40.000000,Received,52.6,25.43,Used
RET0000004,ORD0000006,OI0000012,SKU00395,CUST00002,Too dark,Finish is at least two shades darker than shown.,2024-05-09 04:31:40.000000,Refunded,401.29,27.63,Used
RET0000005,ORD0000009,OI0000016,SKU00341,CUST00003,Quality didn't meet expectations,Cushions losing shape after just a month.,2024-08-09 01:05:11.000000,Inspected,206.14,26.41,Used
RET0000006,ORD0000010,OI0000021,SKU00392,CUST00003,Defective,Pre-drilled holes don't line up with hardware.,2025-09-05 07:05:07.000000,Refunded,101.28,17.39,Used
RET0000007,ORD0000011,OI0000022,SKU00278,CUST00003,Too light,Wood tone is much lighter than the rich warm color shown.,2024-11-13 21:37:53.000000,Refunded,103.25,19.23,Unused
RET0000008,ORD0000020,OI0000044,SKU00273,CUST00006,Defective,Light socket is faulty - bulb flickers.,2024-08-06 07:54:42.000000,Refunded,265.82,22.89,Used
RET0000009,ORD0000023,OI0000048,SKU00069,CUST00007,Defective,Drawer doesn't close flush - frame is warped.,2025-10-18 03:58:14.000000,Processing,109.0,8.61,Used
RET0000010,ORD0000024,OI0000050,SKU00167,CUST00007,Defective,Pre-drilled holes don't line up with hardware.,2026-04-05 12:52:52.000000,Refunded,50.69,25.02,Used
RET0000011,ORD0000027,OI0000054,SKU00316,CUST00008,Difficult assembly,Holes for cam locks were drilled too shallow.,2024-06-07 10:02:40.000000,Refunded,274.77,22.39,Used
RET0000012,ORD0000029,OI0000058,SKU00105,CUST00008,Color mismatch,Color variation is significant from the photos.,2025-02-12 05:06:58.000000,Refunded,77.84,29.06,Used
RET0000013,ORD0000033,OI0000065,SKU00331,CUST00010,Quality didn't meet expectations,Stitching on the upholstery is uneven and coming loose.,2025-03-29 06:14:11.000000,Inspected,103.85,27.67,Unused
RET0000014,ORD0000036,OI0000070,SKU00273,CUST00011,Defective,Light socket is faulty - bulb flickers.,2024-12-25 20:47:00.000000,Received,531.64,16.18,Unused
RET0000015,ORD0000043,OI0000084,SKU00081,CUST00014,Color mismatch,Color variation is significant from the photos.,2026-03-20 15:36:04.000000,Refunded,142.79,8.65,Unused
RET0000016,ORD0000045,OI0000087,SKU00363,CUST00015,Quality didn't meet expectations,Stitching on the upholstery is uneven and coming loose.,2024-10-03 14:32:30.000000,Refunded,83.83,12.36,Unused
RET0000017,ORD0000045,OI0000089,SKU00237,CUST00015,Color mismatch,Color variation is significant from the photos.,2024-10-18 14:32:30.000000,Inspected,405.59,22.01,Unused
RET0000018,ORD0000048,OI0000096,SKU00084,CUST00016,Quality didn't meet expectations,Stitching on the upholstery is uneven and coming loose.,2025-09-28 10:58:16.000000,Refunded,516.52,12.26,Unused
RET0000019,ORD0000049,OI0000098,SKU00067,CUST00016,Difficult assembly,Holes for cam locks were drilled too shallow.,2024-07-12 06:38:36.000000,Inspected,294.14,24.91,Used
RET0000020,ORD0000056,OI0000116,SKU00193,CUST00019,Defective,Pre-drilled holes don't line up with hardware.,2025-08-19 12:24:01.000000,Inspected,112.0,12.33,Used
RET0000021,ORD0000057,OI0000120,SKU00352,CUST00020,Quality didn't meet expectations,"For this price, I expected much better materials.",2025-11-23 13:42:24.000000,Refunded,45.04,14.31,Used
RET0000022,ORD0000059,OI0000123,SKU00185,CUST00021,Not as described,Measurements online are wrong - about 3 inches narrower.,2026-04-05 21:57:08.228992,Inspected,122.6,25.07,Used
RET0000023,ORD0000062,OI0000128,SKU00328,CUST00023,Too light,Finish is practically white-washed.,2026-03-07 23:50:59.000000,Inspected,321.68,15.06,Unused
RET0000024,ORD0000063,OI0000131,SKU00143,CUST00023,Defective,Pre-drilled holes don't line up with hardware.,2024-08-30 15:41:01.000000,Refunded,157.68,27.64,Used
RET0000025,ORD0000065,OI0000136,SKU00299,CUST00023,Damaged upon arrival,Glass component was shattered inside the box.,2026-01-14 04:18:42.000000,Received,563.38,26.06,Damaged
RET0000026,ORD0000069,OI0000145,SKU00148,CUST00025,Color mismatch,Beige is much more yellow-toned than the photos.,2024-05-15 16:28:57.000000,Inspected,396.34,13.23,Used
RET0000027,ORD0000070,OI0000148,SKU00246,CUST00025,Damaged upon arrival,One of the legs is bent and won't attach properly.,2024-09-18 17:57:23.000000,Received,71.29,23.95,Damaged
RET0000028,ORD0000075,OI0000158,SKU00087,CUST00026,Defective,One leg is shorter so the table wobbles.,2026-03-31 21:57:08.267952,Inspected,77.12,17.05,Unused
RET0000029,ORD0000076,OI0000161,SKU00318,CUST00027,Difficult assembly,Holes for cam locks were drilled too shallow.,2025-03-21 05:19:15.000000,Refunded,97.82,24.39,Unused
RET0000030,ORD0000076,OI0000162,SKU00330,CUST00027,Defective,Drawer doesn't close flush - frame is warped.,2025-03-07 05:19:15.000000,Refunded,295.04,21.53,Unused
RET0000031,ORD0000077,OI0000164,SKU00240,CUST00027,Not as described,Brass accents are actually painted plastic.,2026-01-17 13:10:41.000000,Refunded,388.78,20.76,Unused
RET0000032,ORD0000078,OI0000165,SKU00119,CUST00027,Too dark,This piece absorbs what little light there is. Makes the corner feel like a cave.,2025-10-07 18:24:19.000000,Processing,106.63,16.99,Unused
RET0000033,ORD0000079,OI0000170,SKU00397,CUST00027,Not as described,Shown with decorative pillows that weren't included.,2026-02-27 13:45:08.000000,Refunded,179.41,9.56,Used
RET0000034,ORD0000080,OI0000175,SKU00336,CUST00027,Color mismatch,The navy I received is practically black.,2025-11-13 08:53:49.000000,Refunded,107.23,23.16,Used
RET0000035,ORD0000082,OI0000178,SKU00407,CUST00028,Difficult assembly,Need three hands to hold pieces while screwing.,2024-11-18 04:36:14.000000,Refunded,686.83,23.81,Used
RET0000036,ORD0000083,OI0000181,SKU00321,CUST00028,Defective,One leg is shorter so the table wobbles.,2024-11-21 16:03:01.000000,Refunded,71.7,16.48,Unused
RET0000037,ORD0000085,OI0000183,SKU00083,CUST00029,Color mismatch,Color variation is significant from the photos.,2026-01-06 00:09:21.000000,Received,75.28,22.56,Used
RET0000038,ORD0000087,OI0000193,SKU00044,CUST00030,Too dark,Finish is at least two shades darker than shown.,2024-07-26 09:28:47.000000,Inspected,167.05,20.08,Used
RET0000039,ORD0000091,OI0000204,SKU00067,CUST00032,Too dark,Finish is at least two shades darker than shown.,2026-02-20 07:46:10.000000,Inspected,329.95,11.76,Used
RET0000040,ORD0000097,OI0000217,SKU00348,CUST00034,Color mismatch,Gold finish is extremely yellow and brassy.,2025-04-18 23:06:20.000000,Refunded,120.09,14.33,Used
RET0000041,ORD0000099,OI0000222,SKU00373,CUST00035,Too dark,In evening lighting it's almost black.,2024-12-12 11:36:05.000000,Refunded,54.01,12.14,Unused
RET0000042,ORD0000101,OI0000224,SKU00007,CUST00035,Color mismatch,Gold finish is extremely yellow and brassy.,2025-12-28 04:44:45.000000,Refunded,70.45,24.65,Unused
RET0000043,ORD0000103,OI0000228,SKU00158,CUST00037,Not as described,Description said solid wood but this is veneer over particle board.,2024-10-17 05:07:07.000000,Refunded,433.17,20.61,Used
RET0000044,ORD0000106,OI0000237,SKU00137,CUST00039,Too dark,In evening lighting it's almost black.,2025-09-17 02:20:30.000000,Refunded,112.09,8.2,Unused
RET0000045,ORD0000107,OI0000240,SKU00290,CUST00039,Difficult assembly,Instructions were just bad diagrams with no text.,2024-09-26 10:37:53.000000,Refunded,113.58,23.01,Used
RET0000046,ORD0000111,OI0000250,SKU00385,CUST00040,Too dark,This piece absorbs what little light there is. Makes the corner feel like a cave.,2026-02-17 19:08:17.000000,Refunded,278.15,24.69,Used
RET0000047,ORD0000115,OI0000257,SKU00188,CUST00042,Defective,Light socket is faulty - bulb flickers.,2025-01-16 04:16:10.000000,Refunded,164.44,11.7,Used
RET0000048,ORD0000117,OI0000261,SKU00172,CUST00042,Difficult assembly,Holes for cam locks were drilled too shallow.,2025-06-04 02:26:29.000000,Processing,46.61,22.52,Used
RET0000049,ORD0000118,OI0000264,SKU00046,CUST00043,Difficult assembly,Pieces were labeled wrong - had to reassemble multiple times.,2025-02-21 20:58:35.000000,Refunded,256.45,10.83,Used
