review_id,sku_id,customer_id,rating,review_text,review_title,sentiment_score,review_date,verified_purchase,image_uploaded
REV00000001,SKU00084,CUST00001,5,Really happy with this purchase. The color is rich and the material seems durable.,Perfect Chandeliers,0.98,2025-03-20 10:27:21.000000,True,False
REV00000002,SKU00010,CUST00001,5,Perfect for what I needed. The dimensions were spot on and it looks even better in person.,Excellent Sofas,0.875,2024-11-29 08:07:28.000000,True,False
REV00000003,SKU00256,CUST00001,5,Really happy with this purchase. The color is rich and the material seems durable.,Beautiful Cutlery,1.0,2024-12-27 08:07:28.000000,True,False
REV00000004,SKU00269,CUST00001,5,Really happy with this purchase. The color is rich and the material seems durable.,Beautiful Small Appliances,1.0,2024-05-19 16:16:05.000000,True,False
REV00000005,SKU00396,CUST00002,5,Absolutely gorgeous! The photos don't do it justice.,Love this Bath Accessories,1.0,2024-05-29 04:31:40.000000,True,False
REV00000006,SKU00224,CUST00002,5,Absolutely gorgeous! The photos don't do it justice.,Beautiful Curtains,1.0,2024-05-11 04:31:40.000000,True,False
REV00000007,SKU00395,CUST00002,5,Really happy with this purchase. The color is rich and the material seems durable.,Love this Shower Curtains,1.0,2024-05-27 04:31:40.000000,True,False
REV00000008,SKU00326,CUST00002,5,Worth every penny. You can tell it's quality materials and well-made.,Love this Pillows,0.85,2026-01-01 09:08:08.000000,True,False
REV00000009,SKU00196,CUST00003,5,Really happy with this purchase. The color is rich and the material seems durable.,Perfect Throw Pillows,1.0,2024-08-16 01:05:11.000000,True,False
REV00000010,SKU00310,CUST00003,5,Beautiful addition to our home. The finish is gorgeous and it feels very sturdy.,Excellent Sheets,1.0,2024-09-03 01:05:11.000000,True,True
REV00000011,SKU00189,CUST00003,5,Great value for the price. Looks much more expensive than it actually was.,Love this Sculptures,0.815,2024-12-04 21:37:53.000000,True,False
REV00000012,SKU00129,CUST00004,5,Beautiful addition to our home. The finish is gorgeous and it feels very sturdy.,Beautiful Sconces,0.822,2025-11-30 03:58:37.000000,True,True
REV00000013,SKU00099,CUST00004,4,Absolutely gorgeous! The photos don't do it justice.,Love this Floor Lamps,0.423,2025-11-14 03:58:37.000000,True,False
REV00000014,SKU00317,CUST00005,5,Worth every penny. You can tell it's quality materials and well-made.,Beautiful Duvets,1.0,2025-04-16 14:50:32.000000,True,False
REV00000015,SKU00292,CUST00005,5,I am absolutely in love with this piece! The color is exactly what I was hoping for and it fits perfectly in my living room.,Beautiful Bakeware,1.0,2025-07-20 22:29:59.000000,True,False
REV00000016,SKU00143,CUST00005,3,"Not bad, not great. It works but I've seen better quality at this price point.",Average Outdoor Lighting,0.186,2025-06-22 22:29:59.000000,True,True
REV00000017,SKU00138,CUST00005,5,I am absolutely in love with this piece! The color is exactly what I was hoping for and it fits perfectly in my living room.,Beautiful Outdoor Lighting,0.877,2025-07-22 22:29:59.000000,True,False
