customer_id,age_group,lifestyle_tags,preferred_styles,Preferred_colors,lighting_condition,avg_spend,return_rate
CUST00001,55-64,renter|family_with_kids|frequent_entertainer|eco_conscious,Traditional,Pastels,Dim Artificial,350.07,0.115
CUST00002,35-44,pet_owner|homeowner|diy_enthusiast|couple,Minimalist|Bohemian|Traditional,Greens|Pastels,Dim Natural,497.06,0.173
CUST00003,35-44,single|family_with_kids|eco_conscious,Eclectic|Traditional,Natural Wood,Mixed,438.12,0.187
CUST00004,18-24,pet_owner|single|homeowner|family_with_kids,Eclectic,Blues,Dim Artificial,435.3,0.023
CUST00005,45-54,frequent_entertainer|renter|pet_owner|homeowner,Traditional,Pastels|Black & White,Bright Natural,573.71,0.217
CUST00006,35-44,renter|single|eco_conscious|home_chef,Eclectic|Traditional,Black & White|Warm Earth Tones,Bright Artificial,701.64,0.236
CUST00007,55-64,home_chef|single|renter,Modern,Neutrals|Blues,Bright Artificial,478.85,0.084
CUST00008,45-54,family_with_kids|home_chef,Coastal|Farmhouse|Minimalist,Neutrals|Jewel Tones,Dim Natural,803.63,0.122
CUST00009,55-64,single|homeowner,Traditional,Natural Wood,Mixed,284.26,0.086
CUST00010,55-64,couple|family_with_kids,Bohemian|Coastal,Black & White|Jewel Tones,Bright Natural,106.08,0.064
CUST00011,35-44,eco_conscious|renter|single,Mid-Century,Black & White|Natural Wood,Bright Artificial,256.0,0.112
CUST00012,45-54,family_with_kids|diy_enthusiast|renter,Mid-Century|Industrial|Scandinavian,Black & White,Mixed,558.44,0.059
CUST00013,25-34,diy_enthusiast|renter|home_chef,Scandinavian|Industrial|Mid-Century,Pastels|Blues,Mixed,338.44,0.432
CUST00014,45-54,eco_conscious|pet_owner,Coastal|Minimalist|Eclectic,Monochrome|Jewel Tones,Bright Artificial,403.86,0.126
CUST00015,35-44,single|frequent_entertainer|family_with_kids,Mid-Century|Modern|Minimalist,Monochrome,Mixed,1105.74,0.141
CUST00016,65+,diy_enthusiast|family_with_kids,Coastal|Traditional|Mid-Century,Warm Earth Tones,Bright Artificial,760.29,0.095
CUST00017,35-44,couple|diy_enthusiast,Traditional|Scandinavian|Bohemian,Metallics|Neutrals,Dim Artificial,424.24,0.142
CUST00018,25-34,family_with_kids|couple,Mid-Century,Monochrome|Blues,Bright Artificial,218.24,0.527
CUST00019,25-34,family_with_kids|renter,Farmhouse|Modern,Natural Wood|Black & White,Dim Artificial,466.34,0.055
CUST00020,45-54,frequent_entertainer|home_chef|pet_owner,Coastal|Scandinavian|Bohemian,Jewel Tones|Warm Earth Tones,Bright Artificial,1244.48,0.18
CUST00021,65+,home_chef|couple|homeowner,Industrial|Mid-Century,Blues,Mixed,511.71,0.118
CUST00022,35-44,diy_enthusiast|family_with_kids|home_chef|eco_conscious,Minimalist|Coastal|Scandinavian,Warm Earth Tones,Dim Natural,1460.86,0.169
CUST00023,65+,couple|pet_owner|family_with_kids|diy_enthusiast,Mid-Century|Bohemian,Greens,Mixed,432.76,0.093
CUST00024,18-24,diy_enthusiast|homeowner,Eclectic|Mid-Century|Bohemian,Blues,Bright Artificial,403.16,0.157
CUST00025,18-24,renter|family_with_kids|couple,Farmhouse|Scandinavian,Black & White,Mixed,537.05,0.543
CUST00026,55-64,couple|frequent_entertainer|pet_owner|eco_conscious,Farmhouse|Traditional|Mid-Century,Monochrome|Natural Wood,Bright Natural,744.8,0.008
CUST00027,35-44,home_chef|diy_enthusiast|frequent_entertainer,Mid-Century|Industrial|Eclectic,Metallics|Monochrome,Bright Artificial,340.06,0.05
CUST00028,65+,renter|diy_enthusiast,Farmhouse|Scandinavian,Monochrome,Mixed,399.31,0.104
CUST00029,35-44,homeowner|couple|single|home_chef,Scandinavian|Traditional,Pastels,Mixed,816.94,0.09
CUST00030,25-34,renter|pet_owner|homeowner|eco_conscious,Scandinavian|Eclectic,Natural Wood,Dim Natural,523.39,0.622
CUST00031,45-54,couple|diy_enthusiast|single|pet_owner,Farmhouse|Mid-Century,Greens,Dim Artificial,521.82,0.132
CUST00032,55-64,pet_owner|home_chef|homeowner|diy_enthusiast,Industrial|Farmhouse|Mid-Century,Pastels|Greens,Mixed,1263.42,0.161
CUST00033,55-64,renter|family_with_kids|pet_owner,Bohemian|Modern|Coastal,Metallics|Black & White,Dim Artificial,409.17,0.082
CUST00034,35-44,single|frequent_entertainer|renter|pet_owner,Industrial|Mid-Century,Neutrals,Dim Natural,347.23,0.193
CUST00035,18-24,eco_conscious|diy_enthusiast|frequent_entertainer,Eclectic|Industrial,Natural Wood,Mixed,1146.09,0.099
CUST00036,35-44,home_chef|diy_enthusiast|single|homeowner,Eclectic|Modern,Natural Wood,Mixed,967.93,0.038
CUST00037,35-44,renter|couple|frequent_entertainer|pet_owner,Coastal|Mid-Century|Minimalist,Pastels,Dim Natural,432.29,0.52
CUST00038,25-34,family_with_kids|eco_conscious|couple|homeowner,Industrial|Scandinavian|Minimalist,Neutrals,Bright Artificial,547.56,0.086
