sku_id,product_name,category,sub_category,brand,price,material,color,finish,dimensions,weight,style,description_text,image_url,Launch_date
SKU00001,Rejuvenation Artisan Sofa,Furniture,Sofas,Rejuvenation,370.49,Wood,Black | Charcoal,Textured,44x45x8 inches,48.1,Transitional,Elegant design meets functionality in this Rejuvenation piece. Features textured finish and durable construction.,https://example.com/images/00001.jpg,2025-12-27
SKU00002,Rejuvenation Signature Sofa,Furniture,Sofas,Rejuvenation,202.17,Glass | Wood,Black | Blue,Matte,46x53x26 inches,133.3,Bohemian,Beautiful bohemian sofas crafted with premium materials. Perfect addition to any home.,https://example.com/images/00002.jpg,2023-09-28
SKU00003,Mark & Graham Artisan Sofa,Furniture,Sofas,Mark & Graham,166.04,Metal | Porcelain,White,Powder Coated,71x46x37 inches,19.7,Traditional,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00003.jpg,2023-05-17
SKU00004,Pottery Barn Classic Sofa,Furniture,Sofas,Pottery Barn,55.21,Marble | Velvet,Silver | Red,Distressed,76x28x24 inches,97.5,Minimalist,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00004.jpg,2024-06-09
SKU00005,Pottery Barn Essential Sofa,Furniture,Sofas,Pottery Barn,103.61,Acrylic,Gold,Lacquered,17x16x7 inches,99.3,Farmhouse,Beautiful farmhouse sofas crafted with premium materials. Perfect addition to any home.,https://example.com/images/00005.jpg,2024-04-23
SKU00006,Mark & Graham Luxury Sofa,Furniture,Sofas,Mark & Graham,61.6,Concrete,Black | Charcoal,Polished,26x42x13 inches,106.0,Modern | Scandinavian,Expertly crafted sofas that brings sophistication to your home. Available in black.,https://example.com/images/00006.jpg,2024-03-20
SKU00007,Mark & Graham Modern Sofa,Furniture,Sofas,Mark & Graham,75.54,Linen | Porcelain,Bronze | Black,Satin,71x32x13 inches,103.9,Rustic,Beautiful rustic sofas crafted with premium materials. Perfect addition to any home.,https://example.com/images/00007.jpg,2023-11-11
SKU00008,Pottery Barn Custom Sofa,Furniture,Sofas,Pottery Barn,293.72,Cotton | Marble,Oak,Powder Coated,21x59x39 inches,97.2,Transitional | Bohemian,Beautiful transitional sofas crafted with premium materials. Perfect addition to any home.,https://example.com/images/00008.jpg,2023-09-15
SKU00009,Pottery Barn Essential Sofa,Furniture,Sofas,Pottery Barn,75.23,Concrete,Gray | Brown,Lacquered,39x26x24 inches,124.3,Minimalist | Rustic,Expertly crafted sofas that brings sophistication to your home. Available in gray.,https://example.com/images/00009.jpg,2026-02-23
SKU00010,Pottery Barn Essential Sofa,Furniture,Sofas,Pottery Barn,282.34,Bamboo,White,Lacquered,46x47x23 inches,88.0,Scandinavian | Glam,Expertly crafted sofas that brings sophistication to your home. Available in white.,https://example.com/images/00010.jpg,2025-08-03
SKU00011,Pottery Barn Signature Sofa,Furniture,Sofas,Pottery Barn,73.17,Bamboo,Ivory | Cream,Antique,66x21x14 inches,142.7,Rustic | Mid-Century,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00011.jpg,2023-08-22
SKU00012,Rejuvenation Modern Sofa,Furniture,Sofas,Rejuvenation,508.42,Glass | Silk,Beige,Antique,78x14x7 inches,84.2,Industrial | Farmhouse,Expertly crafted sofas that brings sophistication to your home. Available in beige.,https://example.com/images/00012.jpg,2025-10-12
SKU00013,Mark & Graham Premium Sofa,Furniture,Sofas,Mark & Graham,498.96,Brass | Porcelain,Charcoal | Natural,Satin,39x60x21 inches,142.5,Modern | Industrial,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00013.jpg,2025-01-23
SKU00014,Rejuvenation Premium Sofa,Furniture,Sofas,Rejuvenation,159.16,Acrylic | Rattan,Oak | Gold,Powder Coated,17x61x19 inches,81.4,Industrial,Elegant design meets functionality in this Rejuvenation piece. Features powder coated finish and durable construction.,https://example.com/images/00014.jpg,2023-05-28
SKU00015,Williams Sonoma Custom Dining Table,Furniture,Dining Tables,Williams Sonoma,28.43,Rattan | Marble,Ivory,Brushed,42x62x26 inches,35.3,Coastal,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00015.jpg,2023-05-25
SKU00016,Pottery Barn Modern Dining Table,Furniture,Dining Tables,Pottery Barn,147.45,Rattan,Gold,Matte,11x22x6 inches,15.0,Minimalist | Rustic,Expertly crafted dining tables that brings sophistication to your home. Available in gold.,https://example.com/images/00016.jpg,2023-09-01
SKU00017,Williams Sonoma Artisan Dining Table,Furniture,Dining Tables,Williams Sonoma,291.24,Rattan | Velvet,Beige | Gold,Powder Coated,60x48x10 inches,141.1,Glam,Timeless furniture essential that combines style with practicality. Made from high-quality rattan.,https://example.com/images/00017.jpg,2024-03-13
SKU00018,Mark & Graham Luxury Dining Table,Furniture,Dining Tables,Mark & Graham,25.58,Brass,Gray | Gold,Polished,22x71x22 inches,92.5,Modern,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00018.jpg,2024-04-04
SKU00019,Mark & Graham Custom Dining Table,Furniture,Dining Tables,Mark & Graham,121.87,Cotton | Metal,Walnut,Lacquered,60x63x28 inches,87.5,Art Deco,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00019.jpg,2025-06-02
SKU00020,Williams Sonoma Premium Dining Table,Furniture,Dining Tables,Williams Sonoma,45.07,Ceramic | Metal,Navy,Polished,64x41x11 inches,99.5,Transitional,Beautiful transitional dining tables crafted with premium materials. Perfect addition to any home.,https://example.com/images/00020.jpg,2025-10-30
SKU00021,Mark & Graham Custom Dining Table,Furniture,Dining Tables,Mark & Graham,28.36,Leather | Stainless Steel,Blue,Matte,53x33x21 inches,130.5,Coastal,Timeless furniture essential that combines style with practicality. Made from high-quality leather.,https://example.com/images/00021.jpg,2023-05-20
SKU00022,Williams Sonoma Premium Dining Table,Furniture,Dining Tables,Williams Sonoma,582.77,Wool,Gold | Red,Powder Coated,35x71x6 inches,26.6,Minimalist | Transitional,Timeless furniture essential that combines style with practicality. Made from high-quality wool.,https://example.com/images/00022.jpg,2025-08-27
SKU00023,Mark & Graham Modern Dining Table,Furniture,Dining Tables,Mark & Graham,255.09,Brass,Natural | Walnut,Distressed,56x21x20 inches,131.2,Glam | Modern,Expertly crafted dining tables that brings sophistication to your home. Available in natural.,https://example.com/images/00023.jpg,2024-02-11
SKU00024,West Elm Premium Chair,Furniture,Chairs,West Elm,336.55,Cotton,Natural,Distressed,22x42x20 inches,65.2,Art Deco,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00024.jpg,2026-01-12
SKU00025,Williams Sonoma Artisan Chair,Furniture,Chairs,Williams Sonoma,144.18,Bamboo,Ivory,Lacquered,34x61x8 inches,36.3,Glam,Contemporary design that elevates your space. Easy to maintain and built to last.,https://example.com/images/00025.jpg,2026-04-02
SKU00026,West Elm Premium Chair,Furniture,Chairs,West Elm,257.36,Cotton,Oak,Glossy,14x20x38 inches,62.5,Bohemian,Timeless furniture essential that combines style with practicality. Made from high-quality cotton.,https://example.com/images/00026.jpg,2025-08-02
SKU00027,Rejuvenation Modern Chair,Furniture,Chairs,Rejuvenation,174.78,Velvet | Leather,Walnut | Natural,Powder Coated,26x69x28 inches,123.2,Bohemian,Timeless furniture essential that combines style with practicality. Made from high-quality velvet.,https://example.com/images/00027.jpg,2025-01-19
